#separator:Comma
#html:true
#notetype:Basic
#deck:Najdi::Grammar patterns
#tags column:3
"<div dir=""rtl"" style=""font-size:2em"">أنا</div>","<b>ana</b><br>EN: I<br>UA: я<br>MSA: <span dir=""rtl"">أنا</span>","stage-grammar topic-5.1"
"<div dir=""rtl"" style=""font-size:2em"">انت</div>","<b>int</b><br>EN: you (to a man)<br>UA: ти (до чоловіка)<br>MSA: <span dir=""rtl"">أنتَ</span>","stage-grammar topic-5.1"
"<div dir=""rtl"" style=""font-size:2em"">انتي</div>","<b>inti</b><br>EN: you (to a woman)<br>UA: ти (до жінки)<br>MSA: <span dir=""rtl"">أنتِ</span>","stage-grammar topic-5.1"
"<div dir=""rtl"" style=""font-size:2em"">هو</div>","<b>hu</b><br>EN: he<br>UA: він<br>MSA: <span dir=""rtl"">هو</span>","stage-grammar topic-5.1"
"<div dir=""rtl"" style=""font-size:2em"">هي</div>","<b>hi</b><br>EN: she<br>UA: вона<br>MSA: <span dir=""rtl"">هي</span>","stage-grammar topic-5.1"
"<div dir=""rtl"" style=""font-size:2em"">حنا</div>","<b>ḥinna</b><br>EN: we<br>UA: ми<br>MSA: <span dir=""rtl"">نحن</span>","stage-grammar topic-5.1"
"<div dir=""rtl"" style=""font-size:2em"">انتو</div>","<b>intu</b><br>EN: you all<br>UA: ви<br>MSA: <span dir=""rtl"">أنتم</span>","stage-grammar topic-5.1"
"<div dir=""rtl"" style=""font-size:2em"">هم</div>","<b>hum</b><br>EN: they<br>UA: вони<br>MSA: <span dir=""rtl"">هم</span>","stage-grammar topic-5.1"
"<div dir=""rtl"" style=""font-size:2em"">بيتي</div>","<b>bēti</b><br>EN: my house<br>UA: мій дім<br>MSA: <span dir=""rtl"">بيتي</span><br><i>ـي -i — my · ـي -i — мій</i>","stage-grammar topic-5.2"
"<div dir=""rtl"" style=""font-size:2em"">بيتك</div>","<b>bētik</b><br>EN: your house<br>UA: твій дім<br>MSA: <span dir=""rtl"">بيتك</span><br><i>ـك -ik — your (him or her) · ـك -ik — твій (до нього чи до неї)</i>","stage-grammar topic-5.2"
"<div dir=""rtl"" style=""font-size:2em"">بيته</div>","<b>bētah</b><br>EN: his house<br>UA: його дім<br>MSA: <span dir=""rtl"">بيته</span><br><i>ـه -ah / -ih — his · ـه -ah / -ih — його</i>","stage-grammar topic-5.2"
"<div dir=""rtl"" style=""font-size:2em"">بيتها</div>","<b>bētha</b><br>EN: her house<br>UA: її дім<br>MSA: <span dir=""rtl"">بيتها</span><br><i>ـها -ha — her · ـها -ha — її</i>","stage-grammar topic-5.2"
"<div dir=""rtl"" style=""font-size:2em"">بيتنا</div>","<b>bētna</b><br>EN: our house<br>UA: наш дім<br>MSA: <span dir=""rtl"">بيتنا</span><br><i>ـنا -na — our · ـنا -na — наш</i>","stage-grammar topic-5.2"
"<div dir=""rtl"" style=""font-size:2em"">بيتكم</div>","<b>bētkum</b><br>EN: your (all) house<br>UA: ваш дім<br>MSA: <span dir=""rtl"">بيتكم</span><br><i>ـكم -kum — your (all) · ـكم -kum — ваш</i>","stage-grammar topic-5.2"
"<div dir=""rtl"" style=""font-size:2em"">بيتهم</div>","<b>bēthum</b><br>EN: their house<br>UA: їхній дім<br>MSA: <span dir=""rtl"">بيتهم</span><br><i>ـهم -hum — their · ـهم -hum — їхній</i>","stage-grammar topic-5.2"
"<div dir=""rtl"" style=""font-size:2em"">تحبني؟</div>","<b>tḥibbīni?</b><br>EN: do you love me?<br>UA: ти мене кохаєш?<br>MSA: <span dir=""rtl"">هل تحبّينني؟</span><br><i>ـني -ni — me (after a verb) · ـني -ni — мене (після дієслова)</i>","stage-grammar topic-5.2"
"<div dir=""rtl"" style=""font-size:2em"">أروح</div>","<b>arūḥ</b><br>EN: I go<br>UA: я йду<br>MSA: <span dir=""rtl"">أذهب</span>","stage-grammar topic-5.4"
"<div dir=""rtl"" style=""font-size:2em"">تروح</div>","<b>tirūḥ</b><br>EN: you go (m)<br>UA: ти йдеш (до чоловіка)<br>MSA: <span dir=""rtl"">تذهبُ</span>","stage-grammar topic-5.4"
"<div dir=""rtl"" style=""font-size:2em"">تروحين</div>","<b>tirūḥīn</b><br>EN: you go (f)<br>UA: ти йдеш (до жінки)<br>MSA: <span dir=""rtl"">تذهبين</span>","stage-grammar topic-5.4"
"<div dir=""rtl"" style=""font-size:2em"">يروح</div>","<b>yirūḥ</b><br>EN: he goes<br>UA: він іде<br>MSA: <span dir=""rtl"">يذهب</span>","stage-grammar topic-5.4"
"<div dir=""rtl"" style=""font-size:2em"">تروح</div>","<b>tirūḥ</b><br>EN: she goes<br>UA: вона йде<br>MSA: <span dir=""rtl"">تذهبُ هي</span>","stage-grammar topic-5.4"
"<div dir=""rtl"" style=""font-size:2em"">نروح</div>","<b>nirūḥ</b><br>EN: we go<br>UA: ми йдемо<br>MSA: <span dir=""rtl"">نذهب</span>","stage-grammar topic-5.4"
"<div dir=""rtl"" style=""font-size:2em"">تروحون</div>","<b>tirūḥūn</b><br>EN: you all go<br>UA: ви йдете<br>MSA: <span dir=""rtl"">تذهبون</span>","stage-grammar topic-5.4"
"<div dir=""rtl"" style=""font-size:2em"">يروحون</div>","<b>yirūḥūn</b><br>EN: they go<br>UA: вони йдуть<br>MSA: <span dir=""rtl"">يذهبون</span>","stage-grammar topic-5.4"
"<div dir=""rtl"" style=""font-size:2em"">رحت</div>","<b>riḥt</b><br>EN: I went<br>UA: я пішов(-ла)<br>MSA: <span dir=""rtl"">ذهبتُ</span>","stage-grammar topic-5.5"
"<div dir=""rtl"" style=""font-size:2em"">رحت</div>","<b>riḥt</b><br>EN: you went (m)<br>UA: ти пішов<br>MSA: <span dir=""rtl"">ذهبتَ</span>","stage-grammar topic-5.5"
"<div dir=""rtl"" style=""font-size:2em"">رحتي</div>","<b>riḥti</b><br>EN: you went (f)<br>UA: ти пішла<br>MSA: <span dir=""rtl"">ذهبتِ</span>","stage-grammar topic-5.5"
"<div dir=""rtl"" style=""font-size:2em"">راح</div>","<b>rāḥ</b><br>EN: he went<br>UA: він пішов<br>MSA: <span dir=""rtl"">ذهب</span>","stage-grammar topic-5.5"
"<div dir=""rtl"" style=""font-size:2em"">راحت</div>","<b>rāḥat</b><br>EN: she went<br>UA: вона пішла<br>MSA: <span dir=""rtl"">ذهبت</span>","stage-grammar topic-5.5"
"<div dir=""rtl"" style=""font-size:2em"">رحنا</div>","<b>riḥna</b><br>EN: we went<br>UA: ми пішли<br>MSA: <span dir=""rtl"">ذهبنا</span>","stage-grammar topic-5.5"
"<div dir=""rtl"" style=""font-size:2em"">رحتو</div>","<b>riḥtu</b><br>EN: you all went<br>UA: ви пішли<br>MSA: <span dir=""rtl"">ذهبتم</span>","stage-grammar topic-5.5"
"<div dir=""rtl"" style=""font-size:2em"">راحوا</div>","<b>rāḥaw</b><br>EN: they went<br>UA: вони пішли<br>MSA: <span dir=""rtl"">ذهبوا</span><br>⚠ check with tutor","stage-grammar topic-5.5 check-with-tutor"
"<div dir=""rtl"" style=""font-size:2em"">أبي أنام</div>","<b>abi anām</b><br>EN: I want to sleep<br>UA: я хочу спати<br>MSA: <span dir=""rtl"">أريد أن أنام</span><br><i>أبي + verb · أبي + дієслово</i>","stage-grammar topic-5.6"
"<div dir=""rtl"" style=""font-size:2em"">تبين تاكلين؟</div>","<b>tibīn tākilīn?</b><br>EN: do you want to eat?<br>UA: хочеш їсти?<br>MSA: <span dir=""rtl"">هل تريدين أن تأكلي؟</span><br><i>تبين + verb (to her) · تبين + дієслово (до неї)</i>","stage-grammar topic-5.6"
"<div dir=""rtl"" style=""font-size:2em"">ودي أشوفك</div>","<b>widdi ashūfik</b><br>EN: I'd love to see you<br>UA: дуже хочу тебе побачити<br>MSA: <span dir=""rtl"">أودّ أن أراكِ</span><br><i>ودي + verb · ودي + дієслово</i>","stage-grammar topic-5.6"
"<div dir=""rtl"" style=""font-size:2em"">بنام</div>","<b>banām</b><br>EN: I'm going to sleep<br>UA: я йду спати<br>MSA: <span dir=""rtl"">سأنام</span><br><i>ب + verb = future · ب + дієслово = майбутній час</i>","stage-grammar topic-5.6"
"<div dir=""rtl"" style=""font-size:2em"">قاعد أشتغل</div>","<b>gāʿid ashtaghil</b><br>EN: I'm working (right now)<br>UA: я зараз працюю<br>MSA: <span dir=""rtl"">أعمل الآن</span><br><i>قاعد + verb = right now · قاعد + дієслово = просто зараз</i>","stage-grammar topic-5.6"
"<div dir=""rtl"" style=""font-size:2em"">قاعدة تطبخ</div>","<b>gāʿda tiṭbakh</b><br>EN: she's cooking<br>UA: вона зараз готує<br>MSA: <span dir=""rtl"">إنها تطبخ الآن</span><br><i>قاعدة + verb (her) · قاعدة + дієслово (про неї)</i>","stage-grammar topic-5.6"
"<div dir=""rtl"" style=""font-size:2em"">ما أدري → مدري</div>","<b>ma adri → madri</b><br>EN: I don't know<br>UA: не знаю<br>MSA: <span dir=""rtl"">لا أدري</span><br><i>ما + verb · ما + дієслово</i>","stage-grammar topic-5.7"
"<div dir=""rtl"" style=""font-size:2em"">ما فهمت</div>","<b>ma fhimt</b><br>EN: I didn't understand<br>UA: я не зрозумів(-ла)<br>MSA: <span dir=""rtl"">لم أفهم</span><br><i>ما + verb · ما + дієслово</i>","stage-grammar topic-5.7"
"<div dir=""rtl"" style=""font-size:2em"">مب زين</div>","<b>mub zēn</b><br>EN: not good<br>UA: недобре<br>MSA: <span dir=""rtl"">ليس جيدًا</span><br><i>مب + adjective/noun · مب + прикметник / іменник</i>","stage-grammar topic-5.7"
"<div dir=""rtl"" style=""font-size:2em"">ماني فاهم</div>","<b>māni fāhim</b><br>EN: I'm not getting it<br>UA: я не розумію<br>MSA: <span dir=""rtl"">لستُ فاهمًا</span><br><i>ماني + adjective · ماني + прикметник</i>","stage-grammar topic-5.7"
"<div dir=""rtl"" style=""font-size:2em"">لا تزعلين</div>","<b>la tizʿalīn</b><br>EN: don't be upset (to her)<br>UA: не ображайся (до неї)<br>MSA: <span dir=""rtl"">لا تنزعجي</span><br><i>لا + verb = don't! · لا + дієслово = не роби!</i>","stage-grammar topic-5.7"
"<div dir=""rtl"" style=""font-size:2em"">ما فيه مشكلة</div>","<b>ma fīh mushkila</b><br>EN: there's no problem<br>UA: нема проблем<br>MSA: <span dir=""rtl"">لا توجد مشكلة</span><br><i>ما فيه · ما فيه</i>","stage-grammar topic-5.7"
"<div dir=""rtl"" style=""font-size:2em"">توني صحيت</div>","<b>tawwni ṣiḥēt</b><br>EN: I just woke up<br>UA: я щойно прокинувся(-лася)<br>MSA: <span dir=""rtl"">استيقظت للتوّ</span><br><i>توّ + ending — taww- · توّ + закінчення — taww-</i>","stage-grammar topic-5.9"
"<div dir=""rtl"" style=""font-size:2em"">وأنا بعد</div>","<b>w ana baʿad</b><br>EN: me too<br>UA: і я теж<br>MSA: <span dir=""rtl"">وأنا أيضًا</span><br><i>بعد — baʿad · بعد — baʿad</i>","stage-grammar topic-5.9"
"<div dir=""rtl"" style=""font-size:2em"">ما بعد أكلت</div>","<b>ma baʿad akalt</b><br>EN: I haven't eaten yet<br>UA: я ще не їв(-ла)<br>MSA: <span dir=""rtl"">لم آكل بعد</span><br><i>ما بعد — ma baʿad · ما بعد — ma baʿad</i>","stage-grammar topic-5.9"
